30,120
30,80
30,120
30,80
50,100
50,100
10,100
10,100
31,120
31,80
29,120
29,80
50,101
50,99
10,101
10,99
32,120
32,80
28,120
28,80
50,102
50,98
10,102
10,98
33,120
33,80
27,120
27,80
50,103
50,97
10,103
10,97
34,120
34,80
26,120
26,80
50,104
50,96
10,104
10,96
35,119
35,81
25,119
25,81
49,105
49,95
11,105
11,95
36,119
36,81
24,119
24,81
49,106
49,94
11,106
11,94
37,119
37,81
23,119
23,81
49,107
49,93
11,107
11,93
38,118
38,82
22,118
22,82
48,108
48,92
12,108
12,92
39,118
39,82
21,118
21,82
48,109
48,91
12,109
12,91
40,117
40,83
20,117
20,83
47,110
47,90
13,110
13,90
41,117
41,83
19,117
19,83
47,111
47,89
13,111
13,89
42,116
42,84
18,116
18,84
46,112
46,88
14,112
14,88
43,115
43,85
17,115
17,85
45,113
45,87
15,113
15,87
44,114
44,86
16,114
16,86
44,114
44,86
16,114
16,86
30,30
30,31
30,32
30,33
30,34
30,35
30,36
30,37
30,38
30,39
30,40
30,41
30,42
30,43
30,44
30,45
30,46
30,47
30,48
30,49
30,50
30,51
30,52
30,53
30,54
30,55
30,56
30,57
30,58
30,59
30,60
30,61
30,62
30,63
30,64
30,65
30,66
30,67
30,68
30,69
30,70
30,71
30,72
30,73
30,74
30,75
30,76
30,77
30,78
30,79
30,80
20,1
20,2
21,3
21,4
21,5
22,6
22,7
22,8
23,9
23,10
23,11
24,12
24,13
24,14
25,15
25,16
26,17
26,18
26,19
27,20
27,21
27,22
28,23
28,24
28,25
29,26
29,27
29,28
30,29
30,30
40,1
40,2
39,3
39,4
39,5
38,6
38,7
38,8
37,9
37,10
37,11
36,12
36,13
36,14
35,15
35,16
34,17
34,18
34,19
33,20
33,21
33,22
32,23
32,24
32,25
31,26
31,27
31,28
30,29
30,30
15,60
16,59
17,59
18,58
19,57
20,57
21,56
22,55
23,55
24,54
25,53
26,53
27,52
28,51
29,51
30,50
30,50
31,51
32,51
33,52
34,53
35,53
36,54
37,55
38,55
39,56
40,57
41,57
42,58
43,59
44,59
45,60
24,108
24,102
24,108
24,102
27,105
27,105
21,105
21,105
25,108
25,102
23,108
23,102
27,106
27,104
21,106
21,104
26,107
26,103
22,107
22,103
26,107
26,103
22,107
22,103
36,108
36,102
36,108
36,102
39,105
39,105
33,105
33,105
37,108
37,102
35,108
35,102
39,106
39,104
33,106
33,104
38,107
38,103
34,107
34,103
38,107
38,103
34,107
34,103
25,90
26,90
27,90
28,90
29,90
30,90
31,90
32,90
33,90
34,90
35,90
20,95
21,94
22,93
23,92
24,91
25,90
35,90
36,91
37,92
38,93
39,94
40,95
